"ruleCode","severity","title","url","status"
"TITLE_TOO_LONG","WARNING","Title tag is too long","https://www.thenamsoftwaresolutions.com","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://www.thenamsoftwaresolutions.com","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","https://www.thenamsoftwaresolutions.com/innovation-lab","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://www.thenamsoftwaresolutions.com/innovation-lab","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","https://www.thenamsoftwaresolutions.com/students","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","https://www.thenamsoftwaresolutions.com/careers","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","https://www.thenamsoftwaresolutions.com/start-project","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/projects/zayamazone","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","https://www.thenamsoftwaresolutions.com/contact","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","https://www.thenamsoftwaresolutions.com/blog","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/projects/dinesh-portfolio?from=students","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/services/product-engineering","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://www.thenamsoftwaresolutions.com/services/product-engineering","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://www.thenamsoftwaresolutions.com/services/saas-platforms","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/services/startup-branding","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://www.thenamsoftwaresolutions.com/services/startup-branding","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/projects/rootnspace","OPEN"
"TITLE_TOO_SHORT","WARNING","Title tag is too short","https://www.thenamsoftwaresolutions.com/events","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/projects/jayamurugan-portfolio?from=students","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/projects/red-dragon?from=students","OPEN"
"IMAGE_MISSING_ALT","WARNING","Images missing alt attribute","https://www.thenamsoftwaresolutions.com/services/student-innovation","OPEN"
"TITLE_DUPLICATE","WARNING","Duplicate title tag","https://www.thenamsoftwaresolutions.com/projects/red-dragon","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/projects/red-dragon","OPEN"
"META_DESCRIPTION_DUPLICATE","WARNING","Duplicate meta description","https://www.thenamsoftwaresolutions.com/projects/red-dragon","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/projects/kudumba-vault","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/projects/magizh-mahal","OPEN"
"META_DESCRIPTION_TOO_SHORT","WARNING","Meta description is too short","https://www.thenamsoftwaresolutions.com/projects/harishwaran-portfolio?from=students","OPEN"
